Name,Org,Pos,Current Level,FV,K%,BB%,BABIP,ISO,wOBA,wRC+,SwStr%,Strikes,Pitches,playerId
"Tyler Nevin","COL","1B","AAA","45",0.17450366,0.10344828,0.32724505,0.15995261,0.36331278297691666,129.84254626109174,0.10180305,2196,3605,"17893"
"Brendan Rodgers","COL","SS","MLB","55",0.18769716,0.07097792,0.32093023,0.21265377,0.3698178943476851,123.81389854288958,0.11135759,1442,2254,"17907"
"Tyler Stephenson","CIN","C","MLB","50",0.19434194,0.10086101,0.31471136,0.13428571,0.34880803569490687,119.81676878495387,0.09199206,1833,3022,"17988"
"Jake Cronenworth","TBR","SS/RHP","MLB","35+",0.15081967,0.10273224,0.3277439,0.13266583,0.35265482774849144,115.00979720245631,0.04993141,2193,3645,"18036"
"Sam Haggerty","NYM","2B","MLB","40",0.24254743,0.14498645,0.34660422,0.13014827,0.34864044705262554,119.55462952048445,0.10662252,1768,3020,"18054"
"Garrett Stubbs","HOU","C","MLB","40",0.15826087,0.1026087,0.32098765,0.14970059,0.34855971403172054,103.03210110791962,0.10351563,1285,2048,"18067"
"Austin Allen","SDP","C","AAA","45",0.19221106,0.0741206,0.33270677,0.259362,0.3912979056952726,134.85574860444896,0.11503835,1930,2999,"18083"
"LaMonte Wade Jr","MIN","LF","MLB","40",0.14925373,0.14466131,0.28301887,0.1160221,0.3397255795637217,108.05514700819371,0.05825243,2078,3605,"18126"
"Edwin Rios","LAD","1B","MLB","40",0.33503185,0.07643312,0.38875306,0.24928775,0.36721006622704705,113.38167994765747,0.17444089,2049,3130,"18316"
"Daz Cameron","DET","CF","MLB","45",0.27212806,0.10734463,0.32520325,0.15200869,0.32991973613366893,98.79504040228083,0.10907403,2631,4309,"18353"
"Lewin Diaz","MIA","1B","AAA","45",0.18125771,0.05302096,0.26896552,0.20427236,0.33757326477062627,114.30116079350717,0.10954185,1934,2903,"18365"
"Ryan Mountcastle","BAL","LF","MLB","50",0.21304791,0.0509684,0.35598227,0.19474836,0.36236008447128326,118.77400348410504,0.1503344,2411,3439,"18373"
"Travis Blankenhorn","MIN","2B","MLB","40",0.2406639,0.06327801,0.31089744,0.1723356,0.335798401070239,111.54968369626614,0.1604637,2154,3278,"18395"
"Joe McCarthy","SFG","LF","AAA","40+",0.28282828,0.13333333,0.27067669,0.17590362,0.31981349810205323,92.71498149327591,0.08294501,1284,2146,"18399"
"Ke'Bryan Hayes","PIT","3B","MLB","60",0.176,0.102,0.32561505,0.15005727,0.34811396796499666,110.54024701874337,0.06735484,2362,3875,"18577"
"Jared Walsh","LAA","1B/LHP","MLB","35+",0.26819541,0.11964108,0.35634328,0.3041958,0.4143409474492073,147.95674287229787,0.11488634,2502,4091,"18607"
"Ramon Urias","STL","2B","MLB","40+",0.18607764,0.09236948,0.32193159,0.18501529,0.3612216310199059,112.79142651421792,0.09996588,1800,2931,"18795"
"Jahmai Jones","LAA","2B","AAA","45",0.20217588,0.10607434,0.28940217,0.11514523,0.31160215098245053,93.25269582833202,0.122571,2452,4014,"18872"
"Seby Zavala","CHW","C","MLB","40",0.29840849,0.07824934,0.30607477,0.19940916,0.3272878030408915,98.69490836522826,0.16430976,1932,2970,"18887"
"Danny Mendick","CHW","SS","MLB","40",0.17111316,0.11315547,0.29436039,0.15698925,0.3464313143392588,110.23283280241439,0.07688829,2737,4422,"18889"
"Leody Taveras","TEX","CF","AAA","45+",0.18744626,0.09028375,0.32112332,0.09134615,0.31665594538329783,95.11962360641047,0.10063752,2770,4392,"18900"
"Estevan Florial","NYY","CF","MLB","45+",0.28148148,0.10666667,0.36020151,0.14190317,0.3455661757336999,117.3563319701775,0.1488189,1580,2540,"19151"
"Corey Ray","MIL","CF","AAA","40",0.3161435,0.09753363,0.31041667,0.20780856,0.3337266422984565,103.36075051537014,0.18780006,2241,3541,"19170"
"Zack Collins","CHW","1B","MLB","40+",0.28507795,0.18151448,0.33638444,0.20926967,0.3787383443163864,132.90561211025516,0.11402597,2122,3850,"19181"
"Jake Fraley","SEA","LF","MLB","40+",0.19359534,0.08733624,0.36819172,0.22899506,0.4048581090238359,149.7083506830703,0.09050684,1538,2486,"19260"
"Will Craig","PIT","1B","-1","40",0.2479638,0.07782805,0.29569094,0.19301848,0.3349627489840455,101.40897194651441,0.12740775,2717,4309,"19267"
"Adolis Garcia","STL","CF","MLB","35+",0.26959248,0.03761755,0.29391892,0.25529543,0.33278160007836305,91.30592668333342,0.16844227,2371,3473,"19287"
"Randy Arozarena","STL","CF","MLB","40",0.1908867,0.08743842,0.36137667,0.19258203,0.3914168597008131,133.41423479249892,0.0878187,1960,3177,"19290"
"Nick Solak","TEX","2B","MLB","50",0.20825336,0.1084453,0.32608696,0.20289855,0.37841061210403076,131.0934205717463,0.09443387,2552,4204,"19294"
"Eli White","TEX","2B","MLB","40",0.2358403,0.09749304,0.36011905,0.15392781,0.354294069423232,109.85556812498743,0.11345889,2722,4354,"19346"
"DJ Peters","LAD","CF","AAA","40+",0.32667877,0.09618875,0.32600733,0.22046414,0.3539329219903868,113.9180752681428,0.17550274,2740,4376,"19348"
"Sean Murphy","OAK","C","MLB","55",0.17805383,0.09937888,0.31875,0.23333333,0.38372936875934643,130.37172783493952,0.07824541,1039,1687,"19352"
"Luke Raley","MIN","1B","AAA","40",0.25528914,0.0606488,0.35046729,0.19872814,0.36761867688096733,124.81948764080616,0.15939127,1638,2497,"19354"
"Austin Hays","BAL","RF","MLB","45",0.21134752,0.04539007,0.26899384,0.19667171,0.3166815545409918,92.44172281342253,0.13669065,1691,2502,"19363"
"Jake Rogers","DET","C","MLB","40+",0.26863572,0.10970464,0.27735369,0.2102649,0.342141910293008,110.57855261646885,0.12529874,1777,2929,"19452"
"Kyle Lewis","SEA","RF","MLB","45",0.27159091,0.09545455,0.33771107,0.14649682,0.32825324614029017,101.78347573318153,0.14317611,2242,3583,"19508"
"Andrew Knizner","STL","C","MLB","50",0.12996942,0.07798165,0.31818182,0.14629948,0.3548532620760111,109.9197220312621,0.08060905,1435,2233,"19514"
"Andrew Young","ARI","2B","MLB","40",0.19750719,0.07670182,0.31007752,0.22818792,0.3894136618672079,139.49710022198565,0.11785534,2481,3954,"19521"
"Jaylin Davis","SFG","RF","MLB","35+",0.25507246,0.10531401,0.36106489,0.21389196,0.38611119719384945,139.15787450078037,0.1503006,2419,3992,"19552"
"Zack Short","CHC","SS","MLB","40+",0.26564496,0.1532567,0.3,0.18335901,0.35208958547848923,116.08664287831462,0.10769708,1857,3222,"19562"
"Keibert Ruiz","LAD","C","AAA","60",0.07189542,0.07320261,0.26484751,0.11143271,0.31965914665870465,94.70389058677092,0.058622,1680,2627,"19610"
"Luis Barrera","OAK","CF","AAA","40",0.1755102,0.07210884,0.36753731,0.1497006,0.36203647100762143,122.8546054178257,0.09537338,1610,2464,"19615"
"Brent Rooker","MIN","1B","AAA","40+",0.28857479,0.10836278,0.34273319,0.22252374,0.370665111299384,128.6447413652956,0.14710253,2095,3365,"19627"
"Jack Kruger","LAA","C","AAA","40",0.18002466,0.06781751,0.32482993,0.09311741,0.31903405330973883,98.05283709624308,0.09299236,1924,3011,"19634"
"Sheldon Neuse","OAK","3B","MLB","40+",0.27711942,0.08021878,0.38473054,0.16349047,0.34564772983791625,99.64121400530183,0.13863135,2985,4530,"19635"
"Daniel Johnson","CLE","CF","MLB","45",0.21829522,0.07796258,0.34018987,0.18509895,0.3574197221948311,119.14319163696288,0.13821138,2259,3444,"19643"
