Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2014,"Griff Erickson","LAD","AAA",26,60,178,0.29677419,0.11797753,0.1741573,0.21290323,0.33333333,7.1511145294182805,0.38890412875584196,130.70614542225795,0.14634146,0.44715447,0.40650407,0.464,0.28,0.256,0.0974212,698,"sa327827"
2017,"Andrew Barbosa","MIL","AAA",29,23,10,0.1,0,0.7,0.1,0.33333333,-1.8602918519045786,0.1249564528465271,-41.286092785500635,0,0.66666667,0.33333333,0.66666667,0,0.33333333,0.26470588,34,"sa327830"
2010,"Danny Perales","TOR","AAA",25,52,213,0.25510204,0.06103286,0.16901408,0.15816327,0.28846154,-5.190487655418419,0.31735180121547774,81.89194576695347,0.16455696,0.35443038,0.48101266,0.45679012,0.22839506,0.31481481,0.09543568,723,"sa327887"
2011,"Danny Perales","TOR","AAA",26,51,194,0.30508475,0.04639175,0.13917526,0.10734463,0.33974359,-5.4912182395773925,0.3254260986121659,79.92612389925746,0.2012987,0.34415584,0.45454545,0.44585987,0.26751592,0.2866242,0.10333863,629,"sa327887"
2012,"Danny Perales","TOR","AAA",27,72,280,0.27862595,0.05357143,0.14642857,0.15267176,0.31018519,-3.1407223114761744,0.3296229196278425,91.51951584973023,0.2,0.38181818,0.41818182,0.4529148,0.21076233,0.33632287,0.10502793,895,"sa327887"
2013,"R.J. Seidel","MIL","AAA",25,11,17,0.07142857,0.05882353,0.29411765,0,0.11111111,-3.254648953374344,0.10969407161076863,-52.484997234797405,0,1,0,0.3,0.5,0.2,0.05357143,56,"sa327894"
2009,"Kevin Pucetas","SFG","AAA",24,15,35,0.25,0,0.31428571,0.0625,0.38095238,-2.5811551471791256,0.25020288676023483,41.77174158065949,0.1,0.7,0.2,0.39130435,0.34782609,0.26086957,0.2,100,"sa327994"
2010,"Kevin Pucetas","SFG","AAA",25,13,23,0.1,0.04347826,0.39130435,0,0.18181818,-4.484276541625951,0.1216814120610555,-44.879780317276825,0.18181818,0.72727273,0.09090909,0.36363636,0.09090909,0.54545455,0.12162162,74,"sa327994"
2010,"Hunter Mense","FLA","AAA",25,12,28,0.18518519,0.03571429,0.28571429,0.03703703,0.26315789,-3.518846115709798,0.20116011585508073,6.613204954777714,0.10526316,0.57894737,0.31578947,0.42105263,0.15789474,0.42105263,0.10309278,97,"sa327996"
2008,"Michael Affronti","OAK","AAA",24,9,30,0.36666667,0,0.13333333,0.1,0.42307692,0.5059647581005917,0.36509493589401243,112.43226961956488,0.26923077,0.34615385,0.38461538,0.53846154,0.26923077,0.19230769,0.07777778,90,"sa328010"
2010,"Michael Affronti","OAK","AAA",26,46,154,0.2137931,0.03246753,0.14935065,0.07586207,0.24793388,-13.971171779419613,0.24124750633113431,32.58518623831876,0.09090909,0.49586777,0.41322314,0.544,0.168,0.288,0.0907173,474,"sa328010"
2013,"Tim Torres","CHC","AAA",29,61,151,0.20714286,0.05960265,0.29801325,0.1,0.28421053,-11.330305194150597,0.24979100783665975,40.23642810301241,0.2,0.47368421,0.32631579,0.4742268,0.24742268,0.27835052,0.18978102,548,"sa328090"
2010,"Tim Torres","FLA","AAA",26,14,41,0.26470588,0.17073171,0.26829268,0.05882353,0.39130435,-0.11958680209608956,0.34195595107427457,97.83258226240787,0.26315789,0.57894737,0.15789474,0.35,0.25,0.4,0.12571429,175,"sa328090"
2011,"Tim Torres","FLA","AAA",27,42,157,0.2761194,0.11464968,0.22292994,0.11940299,0.36082474,-0.7980410443680079,0.35110607704558927,96.39512806553958,0.16326531,0.48979592,0.34693878,0.41747573,0.31067961,0.27184466,0.10726644,578,"sa328090"
2011,"Johan Limonta","SEA","AAA",27,108,460,0.31941032,0.09565217,0.16304348,0.15724816,0.35913313,8.965931168721829,0.3782811863081796,113.8229849005856,0.21987952,0.44578313,0.33433735,0.42058824,0.25,0.32941176,0.08138173,1708,"sa328092"
2012,"Johan Limonta","SEA","AAA",28,41,160,0.27891156,0.0625,0.18125,0.12244898,0.32478632,-3.1188758747956373,0.3200321651104861,85.26238364949391,0.26724138,0.43965517,0.29310345,0.33333333,0.29166667,0.375,0.09621993,582,"sa328092"
2009,"Larry Cobb","OAK","AAA",23,10,26,0.24,0.03846154,0.26923077,0.12,0.33333333,-1.2784001323259022,0.2795540438248561,61.17770598770262,0.17647059,0.35294118,0.47058824,0.44444444,0.38888889,0.16666667,0.09401709,117,"sa328116"
2012,"Mark Sobolewski","TOR","AAA",25,23,86,0.1875,0.06976744,0.13953488,0.125,0.1969697,-6.862810668807433,0.2501453279062759,39.667307823940256,0.25,0.390625,0.359375,0.52941176,0.11764706,0.35294118,0.09584665,313,"sa328117"
2010,"Esteban Lopez","LAD","AAA",26,7,12,0.33333333,0,0.41666667,0.16666667,0.57142857,0.1644991251743777,0.36102407177289325,110.18651371106772,0.42857143,0.14285714,0.42857143,0.28571429,0.42857143,0.28571429,0.26666667,45,"sa328146"
2016,"Mark Thomas","ARI","AAA",28,30,96,0.18987342,0.13541667,0.36458333,0.11392405,0.31111111,-3.9897434673172603,0.28463866334212456,67.02996525175251,0.2826087,0.39130435,0.32608696,0.40425532,0.29787234,0.29787234,0.10638298,376,"sa328150"
2012,"Derrick Loop","LAD","AAA",28,21,24,0.05263158,0.125,0.5,0,0.14285714,-4.180485096167891,0.14076539874076843,-31.693571614950127,0.28571429,0.42857143,0.28571429,0.125,0.25,0.625,0.08080808,99,"sa328208"
