Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2016,"Ryan Casteel","SEA","AA",25,50,209,0.24324324,0.09090909,0.24401914,0.10810811,0.30882353,-2.2633039542409144,0.3054896122530887,90.08631953141524,0.10869565,0.51449275,0.37681159,0.44604317,0.22302158,0.33093525,0.12634088,839,"sa549286"
2019,"Ryan Casteel","ATL","AA",28,118,458,0.26277372,0.09388646,0.26419214,0.21411192,0.32103321,17.277671550934805,0.3670148429515847,134.16008726152307,0.13937282,0.43902439,0.42160279,0.48474576,0.25423729,0.26101695,0.16329874,1831,"sa549286"
2012,"Yazy Arbelo","ARI","AA",24,64,210,0.20765027,0.1047619,0.31904762,0.14207651,0.28318584,-5.519465784450113,0.2967964946359828,76.73230462123287,0.18644068,0.44915254,0.36440678,0.55462185,0.21008403,0.23529412,0.17839196,796,"sa549324"
2011,"Jimmy Comerota","ARI","AA",24,9,18,0.1875,0.11111111,0.11111111,0.0625,0.21428571,-1.1761477957428759,0.25517453087700737,46.57551475716368,0.07142857,0.78571429,0.14285714,0.57142857,0.21428571,0.21428571,0.12307692,65,"sa549325"
2012,"Aaron Dudley","MIA","AA",24,16,42,0.23076923,0.04761905,0.23809524,0.1025641,0.28571429,-1.264954003395427,0.29175012310345966,73.33748811155188,0.2962963,0.33333333,0.37037037,0.27586207,0.20689655,0.51724138,0.08387097,155,"sa549425"
2013,"Aaron Dudley","MIA","AA",25,30,64,0.14814815,0.15625,0.125,0.12962963,0.13636364,-2.387774149415228,0.26711498555682955,65.01786309863638,0.15217391,0.52173913,0.32608696,0.5106383,0.17021277,0.31914894,0.06666667,225,"sa549425"
2012,"Alfredo Lopez","MIA","AA",22,25,77,0.23076923,0.11688312,0.12987013,0,0.27272727,-2.7565592275678212,0.2842735441525777,68.3078121364861,0.03773585,0.67924528,0.28301887,0.35087719,0.29824561,0.35087719,0.06640625,256,"sa549427"
2014,"Alfredo Lopez","MIA","AA",24,84,241,0.21596244,0.09128631,0.17012448,0.04694836,0.26744186,-10.32700025479113,0.2705904746255955,62.556224779949154,0.13609467,0.56213018,0.30177515,0.3908046,0.26436782,0.34482759,0.09438776,784,"sa549427"
2016,"Chad Oberacker","ARI","AA",27,20,63,0.18367347,0.14285714,0.15873016,0.08163265,0.20512821,-0.7793929820632846,0.3033973978411767,88.67458141803796,0.25,0.325,0.425,0.425,0.25,0.325,0.0678733,221,"sa549447"
2016,"Ben Carhart","CHC","AA",26,58,218,0.25870647,0.04587156,0.16055046,0.15422885,0.28571429,2.1415352049488874,0.3335096360900984,108.9930507742697,0.17575758,0.43030303,0.39393939,0.36904762,0.29166667,0.33928571,0.07464607,777,"sa549450"
2012,"Chris Berset","CIN","AA",24,7,26,0.22727273,0.11538462,0.11538462,0,0.26315789,-0.7607642544814208,0.2928789280928098,74.09686260258151,0.05263158,0.57894737,0.36842105,0.63157895,0.10526316,0.26315789,0.10227273,88,"sa549458"
2013,"Chris Berset","CIN","AA",25,16,62,0.18181818,0.09677419,0.09677419,0.09090909,0.2,-3.385063032201308,0.24357157652495337,48.80728848260714,0.20408163,0.36734694,0.42857143,0.52,0.22,0.26,0.09004739,211,"sa549458"
2014,"Chris Berset","CIN","AA",26,42,161,0.18705036,0.11180124,0.17391304,0.01438849,0.2300885,-10.643514762663697,0.24039893299341203,42.232752446847655,0.16363636,0.5,0.33636364,0.48672566,0.18584071,0.32743363,0.08141593,565,"sa549458"
